molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,active,429.6040000000001,5.406500000000006,1.0,3.0,10.55284196865778
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,active,429.6040000000001,5.406500000000006,1.0,3.0,10.602059991327963
CHEMBL146032,CC(=O)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,active,508.52700000000027,6.717400000000006,1.0,3.0,11.443697499232712
CHEMBL146032,CC(=O)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,active,508.52700000000027,6.717400000000006,1.0,3.0,11.602059991327963
CHEMBL286130,C=C1CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)cc1)Oc1ccccc1-3,intermediate,387.9100000000001,7.096200000000005,1.0,2.0,5.755722879198157
CHEMBL286595,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)cc1)Oc1ccccc1-3,active,387.9100000000001,7.096200000000005,1.0,2.0,6.221848749616356
CHEMBL36076,C[C@@H]1CC(C)(C)Nc2ccc3c(c21)[C@H](c1ccc(Cl)cc1)Oc1ccccc1-3,intermediate,389.9260000000001,7.186500000000005,1.0,2.0,5.508638306165727
CHEMBL35431,C[C@@H]1c2c(ccc3c2[C@H](c2ccc(Cl)cc2)Oc2ccccc2-3)NC(C)(C)[C@H]1O,intermediate,405.92500000000007,6.157300000000005,2.0,3.0,5.494850021680094
CHEMBL33909,CC1(C)C=Cc2c(ccc3c2C(c2ccc(Cl)cc2)Oc2ccccc2-3)N1,active,373.88300000000004,6.706100000000005,1.0,2.0,6.853871964321762
CHEMBL34035,C[C@H]1c2c(ccc3c2[C@H](c2ccc(Cl)cc2)Oc2ccccc2-3)NC(C)(C)[C@@H]1O,active,405.92500000000007,6.157300000000005,2.0,3.0,6.337242168318426
CHEMBL286662,CC1(C)CC(=O)c2c(ccc3c2C(c2ccc(Cl)cc2)Oc2ccccc2-3)N1,active,389.88200000000006,6.265700000000003,1.0,3.0,6.424812155072339
CHEMBL117465,CC1=CC(C)(C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,292.357,4.971780000000004,1.0,2.0,7.522878745280337
CHEMBL117465,CC1=CC(C)(C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,292.357,4.971780000000004,1.0,2.0,7.431798275933005
CHEMBL335992,CC1=CC(C)(C)Nc2ccc(-c3csc(C#N)c3)cc21,active,280.396,4.894180000000004,1.0,3.0,7.619788758288394
CHEMBL335992,CC1=CC(C)(C)Nc2ccc(-c3csc(C#N)c3)cc21,active,280.396,4.894180000000004,1.0,3.0,6.97469413473523
CHEMBL26763,CC1(C)OC(S)=Nc2ccc(-c3cc(Br)cc(OC(F)(F)F)c3)cc21,active,432.2610000000001,6.197300000000004,1.0,3.0,7.0
CHEMBL1908373,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,active,449.6350000000003,5.155700000000006,2.0,4.0,8.657577319177793
CHEMBL1908373,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,active,449.6350000000003,5.155700000000006,2.0,4.0,8.481486060122112
CHEMBL133661,CC1=CC(C)(C)Nc2ccc(-c3ccc(Cl)s3)cc21,active,289.831,5.675900000000003,1.0,2.0,7.366531544420414
CHEMBL133661,CC1=CC(C)(C)Nc2ccc(-c3ccc(Cl)s3)cc21,active,289.831,5.675900000000003,1.0,2.0,6.82102305270683
CHEMBL417110,CCN1C(=S)OC(C)(C)c2cc(-c3cc(F)cc(C#N)c3)ccc21,active,340.42300000000006,4.740880000000003,0.0,3.0,7.0
CHEMBL132950,CC1=CC(C)(C)Nc2ccc(-c3cc(Br)c(C#N)s3)cc21,active,359.2920000000001,5.656680000000003,1.0,3.0,6.616184634019569
CHEMBL132950,CC1=CC(C)(C)Nc2ccc(-c3cc(Br)c(C#N)s3)cc21,active,359.2920000000001,5.656680000000003,1.0,3.0,6.6020599913279625
CHEMBL282650,CC1(C)OC(S)=Nc2ccc(-c3csc(C#N)c3)cc21,active,300.4080000000001,4.469380000000003,1.0,4.0,8.522878745280337
CHEMBL339399,CC1=CC(C)(C)Nc2ccc(-c3ccc(Br)s3)cc21,active,334.28200000000004,5.785000000000003,1.0,2.0,7.187086643357144
CHEMBL339399,CC1=CC(C)(C)Nc2ccc(-c3ccc(Br)s3)cc21,active,334.28200000000004,5.785000000000003,1.0,2.0,7.1487416512809245
CHEMBL162569,C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,intermediate,282.26500000000004,3.8767000000000014,2.0,3.0,5.721246399047171
CHEMBL133656,CC1=CC(C)(C)Nc2ccc(-c3ccc([N+](=O)[O-])s3)cc21,active,300.38300000000004,4.930700000000003,1.0,4.0,7.508638306165727
CHEMBL133656,CC1=CC(C)(C)Nc2ccc(-c3ccc([N+](=O)[O-])s3)cc21,active,300.38300000000004,4.930700000000003,1.0,4.0,7.154901959985743
CHEMBL134258,CC1=CC(C)(C)Nc2ccc(-c3ccsc3C#N)cc21,active,280.396,4.894180000000003,1.0,3.0,6.497572880015567
CHEMBL134258,CC1=CC(C)(C)Nc2ccc(-c3ccsc3C#N)cc21,active,280.396,4.894180000000003,1.0,3.0,6.555955204081924
CHEMBL351465,C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,active,268.23799999999994,3.3157000000000014,2.0,3.0,6.1249387366083
CHEMBL25454,CN1C(=S)OC(C)(C)c2cc(-c3cccc(Br)c3)ccc21,active,362.29200000000003,5.102500000000004,0.0,2.0,6.943095148663527
CHEMBL132193,CC1=CC(C)(C)Nc2ccc(-c3ccc(C#N)s3)cc21,active,280.396,4.894180000000003,1.0,3.0,7.568636235841013
CHEMBL132193,CC1=CC(C)(C)Nc2ccc(-c3ccc(C#N)s3)cc21,active,280.396,4.894180000000003,1.0,3.0,7.096910013008056
CHEMBL25292,COc1cc(C#N)cc(-c2ccc3c(c2)C(C)(C)OC(S)=N3)c1,active,324.405,4.4164800000000035,1.0,4.0,7.0
CHEMBL28164,CN1C(=S)OC(C)(C)c2cc(-c3cc(F)cc(Br)c3)ccc21,active,380.282,5.241600000000004,0.0,2.0,7.0
CHEMBL24689,CC1(C)OC(S)=Nc2ccc(-c3cc(C#N)cc(OC(F)(F)F)c3)cc21,active,378.37500000000006,5.306480000000003,1.0,4.0,7.0
CHEMBL134786,CC1=CC(C)(C)Nc2ccc(-c3ccc(C=O)s3)cc21,active,283.396,4.8350000000000035,1.0,3.0,6.137272471682025
CHEMBL134786,CC1=CC(C)(C)Nc2ccc(-c3ccc(C=O)s3)cc21,active,283.396,4.8350000000000035,1.0,3.0,7.107905397309519
CHEMBL133794,CC1=CC(C)(C)Nc2ccc(-c3sccc3C)cc21,active,269.413,5.330920000000004,1.0,2.0,6.634512015109101
CHEMBL133794,CC1=CC(C)(C)Nc2ccc(-c3sccc3C)cc21,active,269.413,5.330920000000004,1.0,2.0,6.978810700930062
CHEMBL131681,CC1(C)Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)C1=O,active,310.4220000000001,4.3375800000000035,1.0,4.0,7.853871964321762
CHEMBL350932,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)N[C@@H]1CCCC[C@H]31,active,308.30300000000017,4.4109000000000025,2.0,3.0,6.769551078621726
CHEMBL132889,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,active,324.44900000000007,4.646000000000004,1.0,4.0,8.0
CHEMBL161892,CN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C,active,336.35699999999997,4.033300000000003,0.0,3.0,6.0
CHEMBL423620,CC1(C)CCC[C@]2(C)c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@H]12,active,350.384,5.221100000000004,2.0,3.0,6.366531544420414
CHEMBL337885,CC1=CC(C)(C)Nc2ccc(-c3csc(C=O)c3)cc21,active,283.396,4.8350000000000035,1.0,3.0,6.610833915635467
